id,brand,car_model,type,desc,problem,datetime,status
1081323,长安马自达,阿特兹,2020款 2.5L 蓝天运动版,长安马自达阿特兹悦马星空APP缺少功能,车身电器,2023-12-31,用户评分
1081314,别克,君威,2021款 552T 精英型,别克君威冷车启动延迟 发动机故障灯亮,车身电器,2023-12-31,处理反馈
1081306,一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X车门异响 颗粒捕捉器堵塞,发动机,2023-12-31,用户评分
1081297,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁全款购车不给购车合同,服务,2023-12-31,用户评分
1081283,比亚迪,汉,2022款 DM-i 121KM 尊享型,比亚迪汉纯电模式自启动 不更新系统,发动机,2023-12-31,用户评分
1081269,一汽-大众,ID.4 CROZZ,2021款 长续航PRO 两驱版,一汽大众ID.4 CROZZ后轮严重吃胎,前后桥及悬挂系统,2023-12-31,处理反馈
1081249,长城汽车,哈弗H6,2021款 1.5T 自动 都市版,哈弗H6车联网服务到期 无法使用导航,服务收费,2023-12-31,用户评分
1081243,一汽-大众,ID.4 CROZZ,2022款 长续航Lite PRO版,一汽大众ID.4 CROZZ刹车距离感应失灵 续航虚标,车身电器,2023-12-31,处理反馈
1081236,长安汽车,锐程CC,2021款 蓝鲸版 1.5T DCT 尊贵型,长安锐程CC行驶中前轮异响 希望尽快处理,前后桥及悬挂系统,2023-12-31,处理反馈
1081221,小鹏汽车,小鹏P7,2020款 706G,小鹏P7行驶中电机严重异响 无配件更换,发动机,2023-12-31,处理反馈
1081220,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS车机系统无法OTA升级,服务,2023-12-31,用户评分
1081208,长安汽车,长安CS55 PLUS,2022款 第二代 1.5T DCT 尊贵型,长安CS55 PLUS天窗可以关闭 遮阳帘没反应,车身电器,2023-12-31,处理反馈
1081196,别克,君越,2022款 552T 豪华型,别克君越低速顿挫严重 减速后再加速动力弱,发动机,2023-12-31,用户评分
1081176,一汽奥迪,奥迪Q3,2022款 45 TFSI quattro 时尚动感型,一汽奥迪Q3主驾驶车窗异响 希望处理,车身电器,2023-12-30,处理反馈
1081165,比亚迪,宋PLUS新能源,2021款 DM-i 110KM 旗舰PLUS,比亚迪宋PLUS新能源行驶中方向跑偏,前后桥及悬挂系统,2023-12-30,用户评分
1081151,一汽丰田,RAV4荣放,2021款 双擎 2.5L CVT 两驱 精英版,一汽丰田RAV4荣放车门螺丝生锈严重,车身电器,2023-12-30,处理反馈
1081141,一汽丰田,卡罗拉,2021款 TNGA 1.5L CVT 先锋版,一汽丰田卡罗拉电瓶亏电 存在质量问题,车身电器,2023-12-30,处理反馈
1081134,别克,君威,2022款 552T 智享型,别克君威发动机故障灯亮 存在质量问题,发动机,2023-12-30,用户评分
1081124,广汽丰田,凯美瑞,2021款 2.0G 豪华版,广汽丰田凯美瑞导航反应滞后车机无法升级,车身电器,2023-12-30,信息审核
1081118,长城汽车,哈弗H6,2021款 第三代 1.5T 自动 两驱 Max,哈弗H6中控屏下方实体按键失灵 影响使用,车身电器,2023-12-30,处理反馈
1081099,上汽通用雪佛兰,迈锐宝XL,2022款 535T 自动 锐联版,雪佛兰迈锐宝XL行驶中突然无动力,发动机,2023-12-30,处理反馈
1081091,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放车门上方螺丝生锈严重,车身电器,2023-12-30,用户评分
1081083,东风风行,风行T5 EVO,2021款 1.5TD DCT 钻石版,东风风行T5 EVO刹车异响 更换刹车片未解决,制动系统,2023-12-30,用户评分
1081081,广汽本田,凌派,2019款 180Turbo CVT 舒适版 国VI,广汽本田凌派发动机故障灯亮 希望处理,发动机,2023-12-30,用户评分
1081063,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁车机系统与地图版本老旧不升级,服务,2023-12-30,处理反馈
1081058,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放发电机皮带异常磨损,发动机,2023-12-30,处理反馈
1081052,广汽乘用车,传祺GS3,2022款 POWER 270T 自动 劲享版,广汽传祺GS3车联网功能无法使用4G网络,车身电器,2023-12-30,用户评分
1081038,华晨宝马,宝马X2,2021款 sDrive25i 尊享型 M运动套装,华晨宝马X2发动机支座塌陷 不予保修,发动机,2023-12-30,用户评分
1081026,奇瑞汽车,捷途X90,2019款 1.6T DCT 尊旅版 6座 国VI,捷途X90发动机噪音大 变速箱异响换挡顿挫,发动机,2023-12-30,用户评分
1081010,长城汽车,欧拉好猫,2022款 莫兰迪版 400km标准续航 尊贵型 三元锂,欧拉好猫刹车失灵导致追尾事故,制动系统,2023-12-30,用户评分
1081004,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门生锈 要求厂家解决,车身电器,2023-12-30,用户评分
1080994,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳颗粒捕捉器堵塞 油耗升高,发动机,2023-12-30,用户评分
1080990,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌发动机报警灯亮 要求处理,发动机,2023-12-30,信息审核
1080974,别克,昂科威,2020款 20T 两驱 精英型,别克昂科威冷车启动发动机延迟明显,发动机,2023-12-30,处理反馈
1080951,一汽丰田,RAV4荣放,2021款 双擎 2.5L CVT 四驱 精英PLUS版,一汽丰田RAV4荣放车门上螺丝生锈 刹车异响,制动系统,2023-12-30,用户评分
1080931,长城汽车,哈弗大狗,2022款 1.5T DCT 两驱 边牧版,哈弗大狗轮胎磨损严重 售后不解决,前后桥及悬挂系统,2023-12-30,处理反馈
1080930,东风日产,天籁,2021款 2.0L XL Upper AD1 智行领航版,东风日产天籁底盘处异响 主驾座椅处异响,前后桥及悬挂系统,2023-12-30,处理反馈
1080927,长安汽车,长安CS75 PLUS,2021款 2.0T 自动 旗舰型,长安CS75 PLUS转向灯快速闪烁 车机续费使用,车身电器,2023-12-30,处理反馈
1080926,上汽集团,荣威i6 MAX,2020款 300TGI 自动 爽酷版,上汽荣威i6 MAX提车3年车机迟迟不更新,服务,2023-12-30,处理反馈
1080925,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪情版,奇瑞瑞虎8 PLUS车机高德地图不能更新,服务,2023-12-30,处理反馈
1080922,奇瑞汽车,瑞虎8 PLUS,2022款 290TGDI DCT 豪情版+,奇瑞瑞虎8 PLUS车辆停止七天电瓶没电,车身电器,2023-12-30,处理反馈
1080897,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放车门生锈有设计缺陷,车身电器,2023-12-30,处理反馈
1080886,上汽通用凯迪拉克,凯迪拉克XT5,2021款 28T 豪华型,凯迪拉克XT5燃油泵模块存在安全隐患,车身电器,2023-12-30,用户评分
1080875,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚Plus版,一汽丰田RAV4荣放车门生锈 螺丝生锈,车身电器,2023-12-30,用户评分
1080864,长城汽车,哈弗H6,2021款 1.5GDIT 自动 冠军版,哈弗H6车机到期无法使用热点来听歌和导航,服务收费,2023-12-30,处理反馈
1080863,广汽丰田,威兰达,2022款 2.0L CVT 四驱 豪华版,广汽丰田威兰达驻车制动异响 4S店无法解决,制动系统,2023-12-30,信息审核
1080861,特斯拉中国,Model Y,2021款 标准续航 后驱版,特斯拉Model Y左后轮吃胎严重 存在质量问题,前后桥及悬挂系统,2023-12-30,处理反馈
1080849,北京越野,北京BJ40,2019款 PLUS 2.3T 手动 四驱 尊贵版 国VI,北京BJ40踩油门加速一直异响 售后不严谨,发动机,2023-12-30,处理反馈
1080847,广汽丰田,凯美瑞,2021款 双擎 2.5HG 豪华版,广汽丰田凯美瑞车机不升级 厂家区别对待,服务,2023-12-30,信息审核
1080838,上汽大众,凌渡,2018款 230TSI 双离合 风尚版,上汽大众凌渡天窗盖板断裂导致漏水,车身电器,2023-12-30,处理反馈
1080833,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 风尚版 国VI,东风本田CR-V车机无法联网 无法升级,车身电器,2023-12-30,用户评分
1080815,一汽-大众,速腾,2022款 280TSI DSG 卓越版,一汽大众速腾方向盘抖动 座椅升降不平衡,制动系统,2023-12-30,处理反馈
1080808,领克,领克03,2020款 03+ 2.0TD 自动 驭风版,领克03更换刹车片后异响 磨损过快,制动系统,2023-12-30,处理反馈
1080806,长城汽车,哈弗赤兔,2021款 激擎版 1.5T 黄金兔,哈弗赤兔车门爆漆 质量问题处理不满意,车身电器,2023-12-30,处理反馈
1080801,上汽大众,Polo,2018款 1.5L 自动 安享型,上汽大众Polo 4S店闭店无法履行服务承诺,承诺不兑现,2023-12-30,处理反馈
1080795,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 尊贵版,一汽丰田RAV4荣放车门螺丝生锈爆漆,车身电器,2023-12-30,用户评分
1080793,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 豪华型 三厢 国V,长安马自达昂克赛拉方向盘过坑洼路面异响,转向系统,2023-12-30,处理反馈
1080791,东风本田,思域,2016款 220TURBO 自动 豪华版,东风本田思域优科豪马轮胎开裂掉皮,轮胎,2023-12-30,处理反馈
1080788,比亚迪,汉,2022款 DM-p 202KM 四驱 旗舰型,比亚迪汉官方承诺OTA升级不兑现,服务,2023-12-30,处理反馈
1080782,长安马自达,马自达3 昂克赛拉,2022款 2.0L 自动 质耀版,长安马自达昂克赛拉悬架及排气管发生腐蚀,车身电器,2023-12-30,用户评分
1080777,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚Plus版,一汽丰田RAV4荣放车门出现不同程度生锈,车身电器,2023-12-30,用户评分
1080764,上汽通用凯迪拉克,凯迪拉克CT5,2022款 28T 豪华型,凯迪拉克CT5发动机故障灯亮 门把手失灵,发动机,2023-12-30,用户评分
1080761,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影车辆多处生锈 越来越严重,车身电器,2023-12-30,处理反馈
1080759,广汽丰田,凯美瑞,2021款 2.5G 豪华版,广汽丰田凯美瑞倒车影像模糊延迟 车机卡顿,车身电器,2023-12-30,用户评分
1080754,一汽奔腾,奔腾B30EV,2019款 EV400,一汽奔腾B30EV冬天温度低电池不充电,车身电器,2023-12-30,处理反馈
1080733,长安汽车,长安欧尚Z6,2023款 蓝鲸 1.5T DCT 智航型,长安欧尚Z6保镖模式误不触发 得不到解决,车身电器,2023-12-30,用户评分
1080732,长城汽车,哈弗H6,2021款 1.5GDIT 自动 冠军版,哈弗H6车机服务到期后基本功能无法使用,服务收费,2023-12-30,处理反馈
1080725,广汽乘用车,影豹,2023款 270T DCT J16版,广汽传祺影豹车机不开放手机互联功能,其他服务问题,2023-12-30,用户评分
1080714,华晨宝马,宝马iX3,2021款 领先型,华晨宝马iX3厂家互联服务新老车主区别对待,其他,2023-12-30,处理反馈
1080709,广汽乘用车,传祺GS4 PLUS,2021款 270T 自动 星辰版,广汽传祺GS4 PLUS售后承诺保养不兑现,变速器,2023-12-30,处理反馈
1080705,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门生锈 存在质量问题,车身电器,2023-12-29,处理反馈
1080703,一汽-大众,ID.6 CROZZ,2022款 高性能PRIME版,一汽大众ID.6 CROZZ车机经常断网 不升级,车身电器,2023-12-29,处理反馈
1080701,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放车门严重生锈 请及时处理,车身电器,2023-12-29,处理反馈
1080689,飞凡汽车,飞凡ER6,2021款 新动版 620km 智享版,飞凡ER6厂家没有升级过车机系统,服务,2023-12-29,处理反馈
1080640,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越发动机故障灯一直显示 要求解决,发动机,2023-12-29,用户评分
1080619,别克,君越,2021款 552T 豪华型,别克君越燃油泵控制模块 存在安全隐患,车身电器,2023-12-29,用户评分
1080613,长城汽车,炮,2021款 2.0T 商用版 自动 柴油 四驱 精英型 长箱 GW4D20M,长城炮车壳非焊接点未受力点自然开裂,车身电器,2023-12-29,处理反馈
1080600,长安马自达,阿特兹,2021款 2.5L 蓝天运动版,长安马自达阿特兹大灯内部出现脏点,车身电器,2023-12-29,用户评分
1080593,广汽丰田,雷凌,2022款 185T CVT 运动版,广汽丰田雷凌车机卡顿死机 无互联功能,服务,2023-12-29,用户评分
1080591,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门及螺丝生锈严重,车身电器,2023-12-29,处理反馈
1080588,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车门及螺丝生锈严重,车身电器,2023-12-29,用户评分
1080586,别克,君威,2020款 552T 豪华型,别克君威车灯进水起雾 希望厂家处理,车身电器,2023-12-29,用户评分
1080582,梅赛德斯-AMG,奔驰GLB AMG,2021款 AMG GLB 35 4MATIC,奔驰GLBAMG质保期内座椅滑轨卡死不予质保,车身电器,2023-12-29,处理反馈
1080575,北京现代,名图,2021款 1.8L CVT GLX 精英版,北京现代名图发动机异响 要求处理,发动机,2023-12-29,用户评分
1080572,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁发动机故障灯亮 功率降低,发动机,2023-12-29,处理反馈
1080563,一汽丰田,RAV4荣放,2022款 双擎 2.5L E-CVT 四驱 精英Plus版,一汽丰田RAV4荣放车门及螺丝生锈,车身电器,2023-12-29,处理反馈
1080546,上汽大众斯柯达,柯珞克,2021款 TSI280 豪华版,斯柯达柯珞克赠送终身免费保养 无法兑现,服务态度,2023-12-29,用户评分
1080545,长城汽车,哈弗H6,2021款 第三代 1.5T 自动 两驱 Max,哈弗H6电瓶损坏车辆突然断电 要求处理,车身电器,2023-12-29,用户评分
1080541,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放后门装饰条内部生锈,车身电器,2023-12-29,用户评分
1080538,比亚迪,唐新能源,2021款 DM-i 112KM 尊荣型,比亚迪唐新能源厂家要求加价才能申请政府补贴,服务收费,2023-12-29,用户评分
1080535,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车门生锈爆漆 要求尽快解决,车身电器,2023-12-29,处理反馈
1080524,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚Plus版,一汽丰田RAV4荣放车门及螺丝生锈,车身电器,2023-12-29,处理反馈
1080513,上汽通用五菱,宝骏KiWi EV,2021款 设计师 磷酸铁锂,宝骏KiWi EV松油门后桥异响 厂家无零配件,前后桥及悬挂系统,2023-12-29,处理反馈
1080495,小鹏汽车,小鹏G3,2021款 460c 悦享版,小鹏G3动力电池续航太差 要求处理,车身电器,2023-12-29,用户评分
1080488,长安汽车,逸动,2021款 PLUS 蓝鲸NE 1.4T GDI DCT 尊贵型,长安逸动发动机怠速有异响更换飞轮未解决,发动机,2023-12-29,用户评分
1080483,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞车机卡顿 无法OTA升级,服务,2023-12-29,信息审核
1080468,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门及螺丝生锈,车身电器,2023-12-29,处理反馈
1080449,广汽丰田,威兰达,2022款 双擎 2.5L E-CVT 两驱 豪华版,广汽丰田威兰达发动机机油乳化,发动机,2023-12-29,信息审核
1080448,奇瑞新能源,小蚂蚁,2022款 魅 罗曼司 30.6kWh,奇瑞新能源小蚂蚁电池无法充电 厂家不作为,车身电器,2023-12-29,处理反馈
1080440,长安汽车,长安Lumin,2022款 301km 蜜甜款,长安Lumin车辆无法充电 要求厂家解决,车身电器,2023-12-29,用户评分
1080430,东风乘用车,奕炫GS,2021款 230T 自动 追星版,东风风神奕炫GS行驶中车机突然黑屏,车身电器,2023-12-29,处理反馈
1080423,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放车门及螺丝生锈明显,车身电器,2023-12-29,处理反馈
1080421,一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放车门及螺丝生锈,车身电器,2023-12-29,用户评分
1080420,别克,君威,2021款 552T 精英型,别克君威高压油泵导致发动机点火延迟,发动机,2023-12-29,处理反馈
1080419,奇瑞汽车,瑞虎8 PRO,2022款 290T 两驱 风暴版 5座,奇瑞瑞虎8 PRO车机卡顿黑屏 系统未升级,车身电器,2023-12-29,处理反馈
1080418,一汽丰田,卡罗拉锐放,2022款 2.0L 尊享版,一汽丰田卡罗拉锐放尾灯开裂 后备厢漏水,车身电器,2023-12-29,处理反馈
1080416,一汽丰田,RAV4荣放,2020款 2.0L CVT 四驱 风尚PLUS版,一汽丰田RAV4荣放车门及螺丝生锈,车身电器,2023-12-29,用户评分
1080412,别克,君越,2019款 28T 豪华型,别克君越高压油泵故障要求尽快召回,车身电器,2023-12-29,用户评分
1080382,东风本田,哥瑞,2016款 1.5L CVT 舒适版,东风本田哥瑞冷启动发动机有异响持续1到2秒,变速器,2023-12-29,处理反馈
1080378,一汽-大众,迈腾,2020款 380TSI DSG 豪华型,一汽大众迈腾矩阵大灯没有自适应远近光功能,销售欺诈,2023-12-29,用户评分
1080373,别克,威朗,2022款 Pro 532T 乐行版,别克威朗行驶中影音系统有异响 一直未解决,车身电器,2023-12-29,处理反馈
1080356,奇瑞捷豹路虎,捷豹E-PACE,2018款 P250 S 国VI,捷豹E-PACE发动机冷启动异响 加速无力,发动机,2023-12-29,处理反馈
1080352,一汽奥迪,奥迪Q3,2022款 35 TFSI 时尚动感型,一汽奥迪Q3颠簸路段行驶 底盘异响,前后桥及悬挂系统,2023-12-29,处理反馈
1080349,上汽通用凯迪拉克,凯迪拉克CT5,2022款 28T 豪华型,凯迪拉克CT5变速箱阀体损坏需要更换,发动机,2023-12-29,处理反馈
1080347,一汽-大众,一汽-大众CC,2021款 380TSI 夺目版,一汽大众CC车身异响 天窗走烂路异响严重,前后桥及悬挂系统,2023-12-29,处理反馈
1080338,长安汽车,逸动,2020款 PLUS 1.6L GDI 手动 豪华型,长安逸动减震器弯曲 要求厂家更换,前后桥及悬挂系统,2023-12-29,用户评分
1080337,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放四个车门出现生锈的现象,车身电器,2023-12-29,处理反馈
1080336,福特（进口）,福特F-150,2019款 3.5T 猛禽性能劲化版,进口福特F-150仪表提示正时系统故障,发动机,2023-12-29,处理反馈
1080331,小鹏汽车,小鹏P7,2022款 670N+,小鹏P7车机系统卡顿 车机系统无法升级,车身电器,2023-12-29,处理反馈
1080324,别克,君威,2021款 552T 精英型,别克君威燃油泵控制模块存在安全隐患,车身电器,2023-12-29,用户评分
1080322,广汽丰田,雷凌,2022款 双擎 1.8H E-CVT 运动版,广汽丰田雷凌车机卡顿 系统无升级,车身电器,2023-12-29,信息审核
1080321,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车门及螺丝生锈,车身电器,2023-12-29,处理反馈
1080305,上汽大众,朗逸,2021款 280TSI DSG 舒适版,上汽大众朗逸车机非原厂U盘接触不良,销售欺诈,2023-12-29,处理反馈
1080291,广汽丰田,凯美瑞,2021款 2.5G 豪华版,广汽丰田凯美瑞车机卡顿无法OTA升级,车身电器,2023-12-29,信息审核
1080279,上汽通用凯迪拉克,凯迪拉克XT6,2022款 2.0T 七座 四驱 豪华120周年限量版,凯迪拉克XT6经销商不按约定提供代步车,承诺不兑现,2023-12-29,用户评分
1080278,长安汽车,悦翔V7,2016款 1.6L 手动 乐尚型 国V,长安悦翔V7车身钣金生锈腐蚀 要求厂家解决,车身电器,2023-12-29,处理反馈
1080276,别克,君越,2021款 652T 尊贵型,别克君越车身漆面多处掉漆 存在质量问题,车身电器,2023-12-29,用户评分
1080268,长城汽车,哈弗H6,2020款 1.5GDIT 自动 铂金冠军版,哈弗H6车联网服务到期 车机功能无法使用,服务收费,2023-12-29,处理反馈
1080266,观致汽车,观致7,2020款 1.6T 巡航豪华型,观致7安全气囊故障 售后维修没有配件,车身电器,2023-12-29,信息审核
1080261,比亚迪,驱逐舰05,2022款 DM-i 120KM 尊贵型,比亚迪驱逐舰05 EV模式下强制启动发动机,发动机,2023-12-29,用户评分
1080256,DS汽车,DS 7,2021款 35THP 早春限定版,DS 7发动机自动熄火 问题一直未解决,发动机,2023-12-29,信息审核
1080247,上汽通用凯迪拉克,凯迪拉克XT4,2022款 28T 两驱 风尚型,凯迪拉克XT4燃油泵模块存在安全隐患,车身电器,2023-12-29,用户评分
1080229,东风本田,思域,2019款 220TURBO CVT 燃动版 国VI,东风本田思域优科豪马轮胎起皮,轮胎,2023-12-29,处理反馈
1080207,一汽丰田,RAV4荣放,2021款 2.0L CVT 四驱 尊贵版,一汽丰田RAV4荣放车门生锈 要求厂家解决,车身电器,2023-12-29,处理反馈
1080175,广汽本田,奥德赛,2022款 2.0L e:HEV 锐·耀享版,广汽本田奥德赛赠送保养券过期不能使用,承诺不兑现,2023-12-29,处理反馈
1080156,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车门上方生锈,车身电器,2023-12-29,用户评分
1080153,奇瑞汽车,捷途X70M,2020款 1.5T 手动 伙伴型,捷途X70M发动机抖动 3缸失火 缸压不足,发动机,2023-12-29,用户评分
1080139,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放后门螺丝生锈,车身电器,2023-12-29,用户评分
